integrate_baltic_germans_title;Integrate Baltic Germans;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
integrate_baltic_germans_desc;The Baltic Germans have lived alongside us for centuries, contributing heavily to our local administration and economy. By formally integrating them into our state apparatus, we can harness their expertise and smooth over historical tensions.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
organize_laulupidu_title;Organize the Üldlaulupidu;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
organize_laulupidu_desc;The Estonian Song Festival is a cornerstone of our national awakening. By organizing this massive gathering in Tartu, we will unite the Estonian people through song and solidify our cultural identity on the world stage.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
publish_kalevipoeg_title;Publish the Kalevipoeg;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
publish_kalevipoeg_desc;Compiled by Friedrich Reinhold Kreutzwald, the Kalevipoeg is our national epic. Publishing this work will cement the Estonian language in literature and inspire romantic nationalism among our populace.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
found_eus_title;Found the Estonian Students' Society;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
found_eus_desc;The establishment of the Eesti Üliõpilaste Selts (EÜS) will provide an intellectual bedrock for our national movement. Their blue, black, and white tricolor will soon become the symbol of our people.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
exploit_polevkivi_title;Exploit the Põlevkivi Reserves;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
exploit_polevkivi_desc;Vast reserves of oil shale (Põlevkivi) lie dormant in the northeast. By applying modern mining techniques, we can transition this region into an industrial powerhouse fueled by coal and shale.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
radical_land_reform_title;Enact the Land Reform (Maareform);French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
radical_land_reform_desc;For centuries, Baltic German nobles have controlled the vast majority of our arable land. Maaseadus will expropriate these manor estates and distribute the land to the Estonian peasantry, breaking aristocratic power forever.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
expand_baltic_railway_title;Expand the Baltic Railway;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
expand_baltic_railway_desc;Investing heavily in the Balti Raudtee will connect our major cities and ports, drastically improving infrastructure and paving the way for heavy industrialization.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
found_kaitseliit_title;Found the Kaitseliit;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
found_kaitseliit_desc;In times of crisis, the regular army is not enough. Forming the voluntary Defence League (Kaitseliit) will provide us with a paramilitary force ready to defend the homeland at a moment's notice.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
treaty_of_tartu_title;Sign the Treaty of Tartu;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
treaty_of_tartu_desc;With our independence secured, we have signed a historic peace treaty. Russia has renounced all claims to our territory for all time and compensated us with a substantial sum of gold rubles from their imperial reserves.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
vaikiv_ajastu_title;Declare the Era of Silence;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
vaikiv_ajastu_desc;Faced with the rising threat of radical movements destabilizing the republic, the government has preemptively seized emergency powers. Political parties will be banned and parliament suspended to restore order during this Vaikiv Ajastu.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
propose_baltic_entente_title;Propose the Baltic Entente;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
propose_baltic_entente_desc;As a rising power in the region, Estonia is well-positioned to lead a diplomatic bloc. By bringing Latvia and Lithuania into our sphere, we can form a united Baltic front against foreign aggression.;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x
EVTNAME95500;The Baltic Schooling Tradition;;;;;;;;;;;;;x
EVTDESC95500;Centuries of Lutheran parish schooling, confirmation reading requirements, and the academic presence of the Imperial University of Dorpat have left the population of Estland and Livland far more literate than the imperial norm.;;;;;;;;;;;;;x
EVTOPTA95500;Vana hea Rootsi aeg.;;;;;;;;;;;;;x
